section,key,value,type,label,bg,fg,border,component
meta,schema_version,1,,,,,,
meta,run_name,Run (R/W/B) plan→search→generate,,,,,,
meta,reasoning_format,json,,,,,,
meta,default_bg,#888888,,,,,,
meta,default_fg,#ffffff,,,,,,
meta,default_border,#666666,,,,,,
meta,default_component,json,,,,,,
columns,question_id,question_id,,,,,,
columns,question,question,,,,,,
columns,reasoning,reasoning,,,,,,
columns,final,final,,,,,,
type_style,,,plan,Plan,#e74c3c,#ffffff,#b33a2f,markdown
type_style,,,search,Search,#f7f7f7,#111111,#aaaaaa,tool_search
type_style,,,generate,Generate,#1f5fff,#ffffff,#163fbf,markdown
